team_id,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,completed_passes,attempted_passes,field_goals_completed,field_goals_attempted,total_fumbles,defensive_interception,yards_after_interception,total_kickoffs_received,yards_off_kickoff_received,total_punts_received,yards_off_punts_received,total_punts_kicked,total_punt_yards,total_defensive_sacks,yards_lost_from_sacks,total_penalties,total_yards_penalized
107,Alabama,318,24,52.29,68.42,14.4,21.2,24.1,6,35.6,4449,342.2,168,49,126,436,27,2191,168.5,854,614,47.2,83,6640,510.8,11,5,287,406,12,18,25,17,245,30,637,22,531,33,1317,12,81,95,855
108,Arkansas,219,28,33.13,40,10,18.5,11.5,15,37.5,2315,192.9,111,14,80,376,14,1766,147.2,802,257,21.4,31,4081,340.1,5.7,4.7,202,407,14,19,12,6,60,35,649,14,161,59,2320,19,128,61,492
109,Auburn,278,20,40.53,46.67,23.8,20.5,12.8,6,38.5,2697,207.5,123,20,135,550,31,2588,199.1,965,432,33.2,54,5285,406.5,6.8,4.7,229,397,18,25,22,10,238,22,451,24,308,64,2786,18,136,92,718
110,Florida,297,33,41.14,61.54,10,23,4.5,10,41.9,3910,300.8,176,33,88,398,21,1687,129.8,890,432,33.2,55,5597,430.5,8.4,4.2,317,467,17,19,31,16,160,8,184,15,68,42,1847,25,178,67,618
111,Georgia,295,24,40.96,60,12.8,19.1,11.3,6,42.1,3122,223,143,26,128,525,21,2591,185.1,955,431,30.8,50,5713,408.1,7.5,4.9,255,415,27,33,32,8,102,14,268,25,282,61,2857,15,96,76,685
112,Kentucky,252,21,38.89,51.85,11.9,20.8,7.5,8,44.6,1478,113.7,66,9,165,573,36,3624,278.8,847,353,29.4,47,5102,392.5,5.8,6.3,128,257,9,14,35,8,95,21,437,19,143,49,2358,17,93,75,661
113,LSU,390,22,51.48,62.5,5.1,20.8,12.3,7,38.1,5561,397.2,226,56,142,481,31,2337,166.9,1029,684,48.9,89,7898,564.1,10.7,4.9,395,518,21,26,32,17,87,14,291,19,234,40,1701,30,195,82,818
114,Mississippi State,280,23,38.93,38.89,16.3,16.5,4.4,10,38.2,2333,179.5,112,19,145,529,27,2868,220.6,875,361,27.8,48,5201,400.1,7.4,5.4,186,315,9,12,28,10,163,26,430,11,48,53,2256,31,193,72,578
115,Missouri,243,24,36.46,53.85,33.3,17.9,11.2,8,39,2671,222.6,109,17,110,476,14,1820,151.7,879,304,27.6,37,4491,374.3,7.1,3.8,226,376,16,23,12,8,266,9,161,20,223,68,2940,27,170,83,808
116,Ole Miss,271,23,36.81,53.13,4.4,22.4,6.4,6,37.2,2328,194,108,11,140,559,29,3015,251.3,912,319,26.6,41,5343,445.3,7,5.4,186,332,11,19,17,10,44,18,404,15,91,58,2524,21,127,59,585
117,South Carolina,232,19,31.72,48.15,8.5,20.2,13.6,7,42,2667,222.3,128,12,85,396,18,1796,149.7,887,269,22.4,31,4463,371.9,5.7,4.5,268,466,18,22,12,12,102,21,425,11,146,69,3244,25,166,79,656
118,Tennessee,241,26,43.18,16.67,11.6,20.7,15.7,13,37.7,2878,221.4,123,19,92,461,13,1874,144.2,842,314,24.2,35,4752,365.5,8,4.1,200,360,23,27,30,15,174,14,290,15,235,52,2129,21,138,83,683
119,Texas A&M,287,21,40,63.64,8.7,19,12.7,10,40.4,3060,235.4,152,22,114,429,24,2068,159.1,915,384,29.5,47,5128,394.5,6.8,4.8,273,452,18,23,34,10,87,20,379,26,330,59,2743,34,200,87,720
120,Vanderbilt,190,23,28.57,38.1,11.5,18.4,9.3,10,38.6,2064,172,81,10,86,363,11,1496,124.7,772,198,18,24,3560,296.7,5.4,4.1,202,381,10,12,9,6,69,23,423,17,158,80,3374,28,179,76,649
121,Appalachian State,295,20,44.5,81.25,10.7,24.4,9.6,6,39.6,2824,201.7,124,30,151,599,35,3240,231.4,987,543,38.8,73,6064,433.1,7.6,5.4,231,370,11,16,32,14,150,23,562,23,220,71,3035,18,107,95,899
122,Arkansas State,287,25,40.42,56.52,17.1,22.2,9.9,11,40.6,4057,312.1,166,37,96,456,13,1654,127.2,965,438,36.5,54,5711,439.3,8.7,3.6,298,469,19,22,28,12,205,43,954,23,228,65,2874,40,212,99,870
123,Coastal Carolina,267,17,40.7,79.31,11.5,15.7,15.3,9,36.6,2379,198.3,111,21,139,520,24,2346,195.5,874,364,30.3,46,4725,393.8,7.1,4.5,217,334,15,20,15,11,127,17,267,12,183,43,1684,20,123,67,586
